sample_id,cab_gate,mix_gate,cab_mean_l1_from_uniform,cab_mean_max_abs_from_uniform,cab_mean_kl_from_uniform,cab_mean_one_minus_entropy,mix_l1_from_uniform,mix_max_abs_from_uniform,mix_kl_from_uniform,mix_one_minus_entropy,cab_head_best_idx,cab_head_best_score
0,0.5239022374153137,1.0,0.02931470423936844,0.009021162986755371,0.00044470484158700796,0.0003207792842278845,0.005876578390598297,0.0018816590309143066,1.792951329083835e-05,1.2940860535770593e-05,2,0.020572739296204456
1,0.5239022374153137,1.0,0.028078019618988037,0.008760213851928711,0.0004046667849068584,0.0002919053818988271,0.0044863782823085785,0.0018446147441864014,1.1870317171721592e-05,8.55889856840597e-06,2,0.01967974764954092
2,0.5239022374153137,1.0,0.030529044568538666,0.00962674617767334,0.00048049224762139096,0.0003466242431562905,0.0051819197833538055,0.0018938630819320679,1.4667140143763809e-05,1.0591281045690959e-05,2,0.02156334832117384
3,0.5239022374153137,1.0,0.028012994676828384,0.008623361587524414,0.0004012250322808725,0.00028942640746640325,0.004226911813020706,0.0016837120056152344,1.0688189194344792e-05,7.713624063626634e-06,2,0.02054162976284072
4,0.5239022374153137,1.0,0.027633842080831528,0.008659332990646362,0.0003929985400391242,0.0002834996982664373,0.00461752712726593,0.0018032342195510864,1.2142303322567347e-05,8.773721555471736e-06,2,0.020073970730507776
5,0.5239022374153137,1.0,0.029476016759872437,0.009298563003540039,0.00044959362813347175,0.00032431324886170176,0.005213234573602676,0.0017047524452209473,1.4151094710429502e-05,1.0196681210106195e-05,2,0.021071291877000964
6,0.5239022374153137,1.0,0.026128485798835754,0.008421897888183594,0.00035495835984965945,0.00025606323389973373,0.00436648353934288,0.0016046464443206787,1.0591687507941372e-05,7.651463392127633e-06,2,0.020097145119667856
7,0.5239022374153137,1.0,0.02814439684152603,0.008803337812423706,0.000410239053959502,0.00029591747378260314,0.004636086523532867,0.001614391803741455,1.139959003661507e-05,8.215615426437894e-06,2,0.020481397172669856
8,0.5239022374153137,1.0,0.028394728899002075,0.008936449885368347,0.00041877118761403116,0.0003021093601413283,0.004676938056945801,0.00139617919921875,1.105629525794793e-05,7.990332330842786e-06,2,0.01888743874558798
9,0.5239022374153137,1.0,0.02490699663758278,0.007899120450019836,0.0003238408216933689,0.0002335905978763375,0.004123236984014511,0.0015105009078979492,8.918122380194938e-06,6.414439014557072e-06,2,0.018530903299474162
10,0.5239022374153137,1.0,0.02461644634604454,0.007685750722885132,0.0003164642847095062,0.00022827700179417487,0.00416216254234314,0.001809924840927124,9.620304976957621e-06,6.939583141019057e-06,2,0.018037092429891058
11,0.5239022374153137,1.0,0.028254840523004532,0.009157657623291016,0.00041761644672814297,0.00030123541247328856,0.005826305598020554,0.001699298620223999,1.7115289954492492e-05,1.2342346680016547e-05,2,0.020197158822941756
12,0.5239022374153137,1.0,0.029802370816469193,0.009826689958572388,0.00046259151109026607,0.00033369296479385246,0.00604499876499176,0.0017444342374801636,1.848189360462686e-05,1.3331868124799584e-05,2,0.021108093242785626
13,0.5239022374153137,1.0,0.030217546969652176,0.009942904114723206,0.0004750733657281304,0.0003426818185262581,0.006175532937049866,0.0017820298671722412,1.9273461080035307e-05,1.3917764521698128e-05,2,0.021081015272157007
14,0.5239022374153137,1.0,0.029126960784196854,0.009671524167060852,0.0004432839378879232,0.00031976549473858307,0.006005607545375824,0.0017725974321365356,1.8303113963482156e-05,1.321035645451829e-05,2,0.02086908605319627
15,0.5239022374153137,1.0,0.029254134744405746,0.009311676025390625,0.0004447382367696812,0.00032080709905035754,0.005344104021787643,0.0015847384929656982,1.4629975469449897e-05,1.0549571238721578e-05,2,0.020892538268821537
16,0.5239022374153137,1.0,0.02816098928451538,0.009188398718833923,0.0004153874902360919,0.0002996387361054731,0.005698695778846741,0.0016851425170898438,1.6366448546754615e-05,1.1805897077721283e-05,2,0.020256059634515093
17,0.5239022374153137,1.0,0.027648456394672394,0.009489715099334717,0.00040249474223541006,0.00029034603488406474,0.005578622221946716,0.0016739964485168457,1.5960491514112237e-05,1.148325865643618e-05,2,0.019876781069498008
18,0.5239022374153137,1.0,0.02816072851419449,0.009382069110870361,0.00041748304795251063,0.000301172713209924,0.005796831101179123,0.001944214105606079,1.7412326938230464e-05,1.2556613571718112e-05,2,0.019595281831252122
19,0.5239022374153137,1.0,0.024802599102258682,0.0090312659740448,0.0003324436287088083,0.00023979621138575657,0.005699560046195984,0.0021610260009765625,1.8454709188193546e-05,1.331225871339936e-05,2,0.01865172858256777
20,0.5239022374153137,1.0,0.024754177778959274,0.008438706398010254,0.00032619508517752827,0.00023528138942247034,0.004987038671970367,0.0020192861557006836,1.5246794742880592e-05,1.1005688163090444e-05,2,0.017698855743298637
21,0.5239022374153137,1.0,0.02283399924635887,0.007687821984291077,0.00027789935609669604,0.00020045828616313544,0.0048243701457977295,0.002193540334701538,1.689382325722679e-05,1.217141635626029e-05,2,0.016281829691853877
22,0.5239022374153137,1.0,0.02847824990749359,0.009941920638084412,0.0004265470802099034,0.0003077035798234873,0.0050434209406375885,0.0018224865198135376,1.4274772384795736e-05,1.0285895793854527e-05,2,0.023190305741329284
23,0.5239022374153137,1.0,0.031174302101135254,0.010011732578277588,0.0005051645721250793,0.00036438431035762386,0.005870409309864044,0.001709580421447754,1.7653635205704566e-05,1.2726955401887174e-05,2,0.022289064721422724
24,0.5239022374153137,1.0,0.03074415773153305,0.009944051504135132,0.0004929355260224174,0.00035557036885464077,0.00604499876499176,0.0017080903053283691,1.8421394853238504e-05,1.3288227500490857e-05,2,0.021863318145677685
25,0.5239022374153137,1.0,0.028632719069719315,0.009387865662574768,0.00042939461945113474,0.0003097464693236074,0.005939297378063202,0.0017361640930175781,1.787613455525827e-05,1.2902355917138175e-05,2,0.0208483827123803
26,0.5239022374153137,1.0,0.030083246529102325,0.009813517332077026,0.00047269991312145,0.0003409734596638847,0.005395140498876572,0.001664474606513977,1.4867853403947151e-05,1.0736065058192246e-05,2,0.021958125104559537
27,0.5239022374153137,1.0,0.028712868690490723,0.010066121816635132,0.00043429067574532725,0.00031327450210105745,0.0048844292759895325,0.0020044147968292236,1.2907032940607982e-05,9.288104466209646e-06,2,0.0223503115253263
28,0.5239022374153137,1.0,0.026111114770174026,0.008555471897125244,0.00035958996814501403,0.00025937815602716796,0.00489111989736557,0.0017076730728149414,1.2279471112967589e-05,8.865216620329575e-06,2,0.019835116069008875
29,0.5239022374153137,1.0,0.024864505976438522,0.008927315473556519,0.0003306561197425164,0.00023852914796690383,0.004690028727054596,0.001857459545135498,1.1970823436655513e-05,8.62767322309943e-06,2,0.01903729383728741
30,0.5239022374153137,1.0,0.022468317300081253,0.007203966379165649,0.00026717874622323324,0.00019273245139392325,0.004182800650596619,0.0017714500427246094,1.0287080003127487e-05,7.4056584917214785e-06,2,0.016462548320093792
31,0.5239022374153137,1.0,0.02092295140028,0.006770104169845581,0.000230204239629087,0.00016606470803293139,0.00359407439827919,0.0018848776817321777,8.938487620874005e-06,6.451481172092821e-06,2,0.015320590883467343
